,date,continent,location,total_tests_per_thousand
49,2020Q1,Africa,South Sudan,0.0
50,2020Q1,Africa,Sudan,0.0
51,2020Q1,Africa,Tanzania,0.0
52,2020Q1,Africa,Togo,4.223
53,2020Q1,Africa,Tunisia,0.0
54,2020Q1,Africa,Uganda,0.0
55,2020Q1,Africa,Zambia,0.135
56,2020Q1,Africa,Zimbabwe,0.0
57,2020Q1,Asia,Afghanistan,0.0
58,2020Q1,Asia,Armenia,11.53
59,2020Q1,Asia,Azerbaijan,0.0
60,2020Q1,Asia,Bahrain,143.353
61,2020Q1,Asia,Bangladesh,0.0
62,2020Q1,Asia,Bhutan,7.039
63,2020Q1,Asia,Brunei,0.0
64,2020Q1,Asia,Cambodia,0.0
65,2020Q1,Asia,China,0.0
66,2020Q1,Asia,Georgia,0.0
67,2020Q1,Asia,Hong Kong,17.453
68,2020Q1,Asia,India,0.124
69,2020Q1,Asia,Indonesia,0.0
70,2020Q1,Asia,Iran,0.0
71,2020Q1,Asia,Iraq,0.0
72,2020Q1,Asia,Israel,60.847
73,2020Q1,Asia,Japan,3.499
74,2020Q1,Asia,Jordan,0.0
75,2020Q1,Asia,Kazakhstan,8.939
76,2020Q1,Asia,Kuwait,0.0
77,2020Q1,Asia,Kyrgyzstan,0.0
78,2020Q1,Asia,Laos,0.0
79,2020Q1,Asia,Lebanon,0.0
80,2020Q1,Asia,Malaysia,29.346
81,2020Q1,Asia,Maldives,8.212
82,2020Q1,Asia,Mongolia,0.0
83,2020Q1,Asia,Myanmar,0.0
84,2020Q1,Asia,Nepal,0.529
85,2020Q1,Asia,North Korea,0.0
86,2020Q1,Asia,Oman,0.0
87,2020Q1,Asia,Pakistan,0.545
88,2020Q1,Asia,Palestine,0.0
89,2020Q1,Asia,Philippines,0.0
90,2020Q1,Asia,Qatar,0.0
91,2020Q1,Asia,Saudi Arabia,35.389
92,2020Q1,Asia,Singapore,0.0
93,2020Q1,Asia,South Korea,168.948
94,2020Q1,Asia,Sri Lanka,1.11
95,2020Q1,Asia,Syria,0.0
96,2020Q1,Asia,Taiwan,31.958
97,2020Q1,Asia,Tajikistan,0.0
98,2020Q1,Asia,Thailand,14.473
99,2020Q1,Asia,Timor,0.0
100,2020Q1,Asia,Turkey,1.613
101,2020Q1,Asia,Turkmenistan,0.0
102,2020Q1,Asia,United Arab Emirates,257.753
103,2020Q1,Asia,Uzbekistan,0.0
104,2020Q1,Asia,Vietnam,0.0
105,2020Q1,Asia,Yemen,0.0
106,2020Q1,Europe,Albania,5.601
107,2020Q1,Europe,Andorra,0.0
108,2020Q1,Europe,Austria,0.0
109,2020Q1,Europe,Belarus,11.641
110,2020Q1,Europe,Belgium,61.637
111,2020Q1,Europe,Bosnia and Herzegovina,0.0
112,2020Q1,Europe,Bulgaria,0.0
113,2020Q1,Europe,Croatia,12.213000000000001
114,2020Q1,Europe,Cyprus,29.697000000000003
115,2020Q1,Europe,Czechia,0.0
116,2020Q1,Europe,Denmark,50.841
117,2020Q1,Europe,England,0.0
118,2020Q1,Europe,Estonia,86.075
119,2020Q1,Europe,Faeroe Islands,0.0
120,2020Q1,Europe,Finland,42.66
121,2020Q1,Europe,France,0.0
122,2020Q1,Europe,Germany,18.158
123,2020Q1,Europe,Gibraltar,0.0
124,2020Q1,Europe,Greece,14.368
125,2020Q1,Europe,Guernsey,0.0
126,2020Q1,Europe,Hungary,10.701
127,2020Q1,Europe,Iceland,543.506
128,2020Q1,Europe,Ireland,49.906
129,2020Q1,Europe,Isle of Man,0.0
130,2020Q1,Europe,Italy,97.713
131,2020Q1,Europe,Jersey,0.0
132,2020Q1,Europe,Kosovo,0.0
133,2020Q1,Europe,Latvia,73.913
134,2020Q1,Europe,Liechtenstein,0.0
135,2020Q1,Europe,Lithuania,13.807
136,2020Q1,Europe,Luxembourg,204.071
137,2020Q1,Europe,Malta,0.0
138,2020Q1,Europe,Moldova,0.0
139,2020Q1,Europe,Monaco,0.0
140,2020Q1,Europe,Montenegro,0.0
141,2020Q1,Europe,Netherlands,0.0
142,2020Q1,Europe,North Macedonia,3.159
143,2020Q1,Europe,Northern Ireland,0.0
144,2020Q1,Europe,Norway,0.0
145,2020Q1,Europe,Poland,0.7
146,2020Q1,Europe,Portugal,58.344
147,2020Q1,Europe,Romania,0.282
148,2020Q1,Europe,Russia,26.128
149,2020Q1,Europe,San Marino,0.0
150,2020Q1,Europe,Scotland,0.0
151,2020Q1,Europe,Serbia,3.319
152,2020Q1,Europe,Slovakia,15.17
153,2020Q1,Europe,Slovenia,133.373
154,2020Q1,Europe,Spain,47.601
155,2020Q1,Europe,Sweden,0.0
156,2020Q1,Europe,Switzerland,0.0
157,2020Q1,Europe,Ukraine,0.0
158,2020Q1,Europe,United Kingdom,2.306
159,2020Q1,Europe,Vatican,0.0
160,2020Q1,North America,Anguilla,0.0
161,2020Q1,North America,Antigua and Barbuda,0.0
162,2020Q1,North America,Aruba,0.0
163,2020Q1,North America,Bahamas,0.0
164,2020Q1,North America,Barbados,0.0
165,2020Q1,North America,Belize,0.0
166,2020Q1,North America,Bermuda,0.0
167,2020Q1,North America,Bonaire Sint Eustatius and Saba,0.0
168,2020Q1,North America,British Virgin Islands,0.0
169,2020Q1,North America,Canada,39.586
170,2020Q1,North America,Cayman Islands,0.0
171,2020Q1,North America,Costa Rica,6.165
172,2020Q1,North America,Cuba,1.2389999999999999
173,2020Q1,North America,Curacao,0.0
174,2020Q1,North America,Dominica,0.0
175,2020Q1,North America,Dominican Republic,1.952
176,2020Q1,North America,El Salvador,0.0
177,2020Q1,North America,Greenland,0.0
178,2020Q1,North America,Grenada,0.0
179,2020Q1,North America,Guadeloupe,0.0
180,2020Q1,North America,Guatemala,0.47100000000000003
181,2020Q1,North America,Haiti,0.0
182,2020Q1,North America,Honduras,0.0
183,2020Q1,North America,Jamaica,0.242
184,2020Q1,North America,Martinique,0.0
185,2020Q1,North America,Mexico,6.558
186,2020Q1,North America,Montserrat,0.0
187,2020Q1,North America,Nicaragua,0.0
188,2020Q1,North America,Panama,14.526
189,2020Q1,North America,Puerto Rico,3.481
190,2020Q1,North America,Saint Barthelemy,0.0
191,2020Q1,North America,Saint Kitts and Nevis,0.0
192,2020Q1,North America,Saint Lucia,0.0
193,2020Q1,North America,Saint Martin (French part),0.0
194,2020Q1,North America,Saint Pierre and Miquelon,0.0
195,2020Q1,North America,Saint Vincent and the Grenadines,0.0
196,2020Q1,North America,Sint Maarten (Dutch part),0.0
197,2020Q1,North America,Trinidad and Tobago,0.0
198,2020Q1,North America,Turks and Caicos Islands,0.0
199,2020Q1,North America,United States,33.760999999999996
200,2020Q1,North America,United States Virgin Islands,0.22
201,2020Q1,Oceania,American Samoa,0.0
202,2020Q1,Oceania,Australia,96.142
203,2020Q1,Oceania,Cook Islands,0.0
204,2020Q1,Oceania,Fiji,3.404
205,2020Q1,Oceania,French Polynesia,0.0
206,2020Q1,Oceania,Guam,43.018
207,2020Q1,Oceania,Kiribati,0.0
208,2020Q1,Oceania,Marshall Islands,0.0
209,2020Q1,Oceania,Micronesia (country),0.0
210,2020Q1,Oceania,Nauru,0.0
211,2020Q1,Oceania,New Caledonia,0.0
212,2020Q1,Oceania,New Zealand,40.457
213,2020Q1,Oceania,Niue,0.0
214,2020Q1,Oceania,Northern Mariana Islands,0.0
215,2020Q1,Oceania,Palau,0.0
216,2020Q1,Oceania,Papua New Guinea,0.0
217,2020Q1,Oceania,Pitcairn,0.0
218,2020Q1,Oceania,Samoa,0.0
219,2020Q1,Oceania,Solomon Islands,0.0
220,2020Q1,Oceania,Tokelau,0.0
221,2020Q1,Oceania,Tonga,0.0
222,2020Q1,Oceania,Tuvalu,0.0
223,2020Q1,Oceania,Vanuatu,0.0
224,2020Q1,Oceania,Wallis and Futuna,0.0
225,2020Q1,South America,Argentina,2.001
226,2020Q1,South America,Bolivia,0.23399999999999999
227,2020Q1,South America,Brazil,0.0
228,2020Q1,South America,Chile,6.1129999999999995
229,2020Q1,South America,Colombia,0.0
230,2020Q1,South America,Ecuador,2.335
231,2020Q1,South America,Falkland Islands,0.0
232,2020Q1,South America,French Guiana,0.0
233,2020Q1,South America,Guyana,0.0
234,2020Q1,South America,Paraguay,1.264
235,2020Q1,South America,Peru,0.0
236,2020Q1,South America,Suriname,0.0
237,2020Q1,South America,Uruguay,4.255
238,2020Q1,South America,Venezuela,0.0
239,2020Q2,Africa,Algeria,0.0
240,2020Q2,Africa,Angola,0.0
241,2020Q2,Africa,Benin,0.0
242,2020Q2,Africa,Botswana,283.592
243,2020Q2,Africa,Burkina Faso,0.0
244,2020Q2,Africa,Burundi,0.0
245,2020Q2,Africa,Cameroon,0.0
246,2020Q2,Africa,Cape Verde,0.0
247,2020Q2,Africa,Central African Republic,0.0
248,2020Q2,Africa,Chad,0.0
249,2020Q2,Africa,Comoros,0.0
250,2020Q2,Africa,Congo,0.0
251,2020Q2,Africa,Cote d'Ivoire,66.345
252,2020Q2,Africa,Democratic Republic of Congo,0.0
253,2020Q2,Africa,Djibouti,0.0
254,2020Q2,Africa,Egypt,0.0
255,2020Q2,Africa,Equatorial Guinea,0.0
256,2020Q2,Africa,Eritrea,0.0
257,2020Q2,Africa,Eswatini,0.0
258,2020Q2,Africa,Ethiopia,62.732
259,2020Q2,Africa,Gabon,0.0
260,2020Q2,Africa,Gambia,0.0
261,2020Q2,Africa,Ghana,386.713
262,2020Q2,Africa,Guinea,0.0
263,2020Q2,Africa,Guinea-Bissau,0.0
264,2020Q2,Africa,Kenya,93.277
265,2020Q2,Africa,Lesotho,0.0
266,2020Q2,Africa,Liberia,0.0
267,2020Q2,Africa,Libya,0.0
268,2020Q2,Africa,Madagascar,9.205
269,2020Q2,Africa,Malawi,16.081
270,2020Q2,Africa,Mali,0.0
271,2020Q2,Africa,Mauritania,70.996
272,2020Q2,Africa,Mauritius,0.0
273,2020Q2,Africa,Mayotte,0.0
274,2020Q2,Africa,Morocco,442.501
275,2020Q2,Africa,Mozambique,25.204
276,2020Q2,Africa,Namibia,85.405
277,2020Q2,Africa,Niger,0.0
278,2020Q2,Africa,Nigeria,16.729
279,2020Q2,Africa,Reunion,0.0
280,2020Q2,Africa,Rwanda,365.44599999999997
281,2020Q2,Africa,Saint Helena,0.0
282,2020Q2,Africa,Sao Tome and Principe,0.0
283,2020Q2,Africa,Senegal,171.038
284,2020Q2,Africa,Seychelles,0.0
285,2020Q2,Africa,Sierra Leone,0.0
286,2020Q2,Africa,Somalia,0.0
287,2020Q2,Africa,South Africa,876.661
288,2020Q2,Africa,South Sudan,0.0
289,2020Q2,Africa,Sudan,0.0
290,2020Q2,Africa,Tanzania,0.0
291,2020Q2,Africa,Togo,162.591
292,2020Q2,Africa,Tunisia,0.0
293,2020Q2,Africa,Uganda,121.513
294,2020Q2,Africa,Zambia,71.05799999999999
295,2020Q2,Africa,Zimbabwe,66.462
296,2020Q2,Asia,Afghanistan,0.0
297,2020Q2,Asia,Armenia,1505.132
298,2020Q2,Asia,Azerbaijan,0.0
299,2020Q2,Asia,Bahrain,13733.142
300,2020Q2,Asia,Bangladesh,129.494
301,2020Q2,Asia,Bhutan,1477.771
302,2020Q2,Asia,Brunei,0.0
303,2020Q2,Asia,Cambodia,0.0
304,2020Q2,Asia,China,63.118
305,2020Q2,Asia,Georgia,0.0
306,2020Q2,Asia,Hong Kong,99.86
307,2020Q2,Asia,India,182.768
308,2020Q2,Asia,Indonesia,0.0
309,2020Q2,Asia,Iran,692.99
310,2020Q2,Asia,Iraq,360.6
311,2020Q2,Asia,Israel,4340.844
312,2020Q2,Asia,Japan,153.215
313,2020Q2,Asia,Jordan,7.076
314,2020Q2,Asia,Kazakhstan,2835.543
315,2020Q2,Asia,Kuwait,3573.154
316,2020Q2,Asia,Kyrgyzstan,0.0
317,2020Q2,Asia,Laos,0.0
318,2020Q2,Asia,Lebanon,0.0
319,2020Q2,Asia,Malaysia,1466.14
320,2020Q2,Asia,Maldives,2022.437
321,2020Q2,Asia,Mongolia,0.0
322,2020Q2,Asia,Myanmar,39.153
323,2020Q2,Asia,Nepal,184.366
324,2020Q2,Asia,North Korea,0.09
325,2020Q2,Asia,Oman,0.0
326,2020Q2,Asia,Pakistan,178.037
327,2020Q2,Asia,Palestine,0.0
328,2020Q2,Asia,Philippines,204.288
329,2020Q2,Asia,Qatar,0.0
330,2020Q2,Asia,Saudi Arabia,1769.517
331,2020Q2,Asia,Singapore,0.0
332,2020Q2,Asia,South Korea,1392.637
333,2020Q2,Asia,Sri Lanka,197.971
334,2020Q2,Asia,Syria,0.0
335,2020Q2,Asia,Taiwan,246.164
336,2020Q2,Asia,Tajikistan,0.0
337,2020Q2,Asia,Thailand,434.311
338,2020Q2,Asia,Timor,0.0
339,2020Q2,Asia,Turkey,1673.82
340,2020Q2,Asia,Turkmenistan,0.0
341,2020Q2,Asia,United Arab Emirates,17238.228
342,2020Q2,Asia,Uzbekistan,0.0
343,2020Q2,Asia,Vietnam,0.0
344,2020Q2,Asia,Yemen,0.0
345,2020Q2,Europe,Albania,371.398
346,2020Q2,Europe,Andorra,0.0
347,2020Q2,Europe,Austria,3570.11
348,2020Q2,Europe,Belarus,2138.434
349,2020Q2,Europe,Belgium,5178.864
350,2020Q2,Europe,Bosnia and Herzegovina,1125.32
351,2020Q2,Europe,Bulgaria,710.61
352,2020Q2,Europe,Croatia,1031.956
353,2020Q2,Europe,Cyprus,8651.113
354,2020Q2,Europe,Czechia,165.121
355,2020Q2,Europe,Denmark,7265.278
356,2020Q2,Europe,England,0.0
357,2020Q2,Europe,Estonia,5236.745
358,2020Q2,Europe,Faeroe Islands,0.0
359,2020Q2,Europe,Finland,2422.257
360,2020Q2,Europe,France,642.36
361,2020Q2,Europe,Germany,547.9159999999999
362,2020Q2,Europe,Gibraltar,0.0
363,2020Q2,Europe,Greece,1094.933
364,2020Q2,Europe,Guernsey,0.0
365,2020Q2,Europe,Hungary,1266.723
366,2020Q2,Europe,Iceland,12902.168
367,2020Q2,Europe,Ireland,4594.385
368,2020Q2,Europe,Isle of Man,0.0
369,2020Q2,Europe,Italy,4512.603
370,2020Q2,Europe,Jersey,0.0
371,2020Q2,Europe,Kosovo,0.0
372,2020Q2,Europe,Latvia,4030.293
373,2020Q2,Europe,Liechtenstein,1033.042
374,2020Q2,Europe,Lithuania,6762.156
375,2020Q2,Europe,Luxembourg,10153.056
376,2020Q2,Europe,Malta,0.0
377,2020Q2,Europe,Moldova,0.0
378,2020Q2,Europe,Monaco,0.0
379,2020Q2,Europe,Montenegro,0.0
380,2020Q2,Europe,Netherlands,213.693
381,2020Q2,Europe,North Macedonia,1108.389
382,2020Q2,Europe,Northern Ireland,0.0
383,2020Q2,Europe,Norway,2143.74
384,2020Q2,Europe,Poland,194.571
385,2020Q2,Europe,Portugal,5703.041
386,2020Q2,Europe,Romania,168.925
387,2020Q2,Europe,Russia,5106.748
388,2020Q2,Europe,San Marino,0.0
389,2020Q2,Europe,Scotland,0.0
390,2020Q2,Europe,Serbia,2305.796
391,2020Q2,Europe,Slovakia,2103.075
392,2020Q2,Europe,Slovenia,2869.982
393,2020Q2,Europe,Spain,3355.096
394,2020Q2,Europe,Sweden,3.379
395,2020Q2,Europe,Switzerland,409.596
396,2020Q2,Europe,Ukraine,487.153
397,2020Q2,Europe,United Kingdom,3279.179
398,2020Q2,Europe,Vatican,0.0
399,2020Q2,Europe,Wales,0.0
400,2020Q2,North America,Anguilla,0.0
401,2020Q2,North America,Antigua and Barbuda,0.0
402,2020Q2,North America,Aruba,0.0
403,2020Q2,North America,Bahamas,0.0
404,2020Q2,North America,Barbados,0.0
405,2020Q2,North America,Belize,0.0
406,2020Q2,North America,Bermuda,0.0
407,2020Q2,North America,Bonaire Sint Eustatius and Saba,0.0
408,2020Q2,North America,British Virgin Islands,0.0
409,2020Q2,North America,Canada,3055.652
410,2020Q2,North America,Cayman Islands,0.0
411,2020Q2,North America,Costa Rica,268.212
412,2020Q2,North America,Cuba,658.821
413,2020Q2,North America,Curacao,0.0
414,2020Q2,North America,Dominica,0.0
415,2020Q2,North America,Dominican Republic,504.819
416,2020Q2,North America,El Salvador,879.5
417,2020Q2,North America,Greenland,0.0
418,2020Q2,North America,Grenada,0.0
419,2020Q2,North America,Guadeloupe,0.0
420,2020Q2,North America,Guatemala,94.408
421,2020Q2,North America,Haiti,0.0
422,2020Q2,North America,Honduras,0.0
423,2020Q2,North America,Jamaica,259.4
424,2020Q2,North America,Martinique,0.0
425,2020Q2,North America,Mexico,173.043
426,2020Q2,North America,Montserrat,0.0
427,2020Q2,North America,Nicaragua,0.0
428,2020Q2,North America,Panama,1096.477
429,2020Q2,North America,Puerto Rico,676.211
430,2020Q2,North America,Saint Barthelemy,0.0
431,2020Q2,North America,Saint Kitts and Nevis,0.0
432,2020Q2,North America,Saint Lucia,0.0
433,2020Q2,North America,Saint Martin (French part),0.0
434,2020Q2,North America,Saint Pierre and Miquelon,0.0
435,2020Q2,North America,Saint Vincent and the Grenadines,0.0
436,2020Q2,North America,Sint Maarten (Dutch part),0.0
437,2020Q2,North America,Trinidad and Tobago,0.0
438,2020Q2,North America,Turks and Caicos Islands,0.0
439,2020Q2,North America,United States,4049.022
440,2020Q2,North America,United States Virgin Islands,330.38
441,2020Q2,Oceania,American Samoa,0.0
442,2020Q2,Oceania,Australia,3851.3
443,2020Q2,Oceania,Cook Islands,0.0
444,2020Q2,Oceania,Fiji,198.702
445,2020Q2,Oceania,French Polynesia,0.0
446,2020Q2,Oceania,Guam,3661.939
447,2020Q2,Oceania,Kiribati,0.0
448,2020Q2,Oceania,Marshall Islands,7.776
449,2020Q2,Oceania,Micronesia (country),0.0
450,2020Q2,Oceania,Nauru,0.0
451,2020Q2,Oceania,New Caledonia,0.0
452,2020Q2,Oceania,New Zealand,3696.642
453,2020Q2,Oceania,Niue,0.0
454,2020Q2,Oceania,Northern Mariana Islands,8298.236
455,2020Q2,Oceania,Palau,0.0
456,2020Q2,Oceania,Papua New Guinea,0.0
457,2020Q2,Oceania,Pitcairn,0.0
458,2020Q2,Oceania,Samoa,0.0
459,2020Q2,Oceania,Solomon Islands,0.0
460,2020Q2,Oceania,Tokelau,0.0
461,2020Q2,Oceania,Tonga,0.0
462,2020Q2,Oceania,Tuvalu,0.0
463,2020Q2,Oceania,Vanuatu,0.0
464,2020Q2,Oceania,Wallis and Futuna,0.0
465,2020Q2,South America,Argentina,323.793
466,2020Q2,South America,Bolivia,176.143
467,2020Q2,South America,Brazil,168.661
468,2020Q2,South America,Chile,2021.907
469,2020Q2,South America,Colombia,292.855
470,2020Q2,South America,Ecuador,260.31
471,2020Q2,South America,Falkland Islands,0.0
472,2020Q2,South America,French Guiana,0.0
473,2020Q2,South America,Guyana,0.0
474,2020Q2,South America,Paraguay,333.062
475,2020Q2,South America,Peru,1928.281
476,2020Q2,South America,Suriname,0.0
477,2020Q2,South America,Uruguay,843.101
478,2020Q2,South America,Venezuela,0.0
479,2020Q3,Africa,Algeria,0.0
480,2020Q3,Africa,Angola,0.0
481,2020Q3,Africa,Benin,0.0
482,2020Q3,Africa,Botswana,863.505
483,2020Q3,Africa,Burkina Faso,0.0
484,2020Q3,Africa,Burundi,0.0
485,2020Q3,Africa,Cameroon,0.0
486,2020Q3,Africa,Cape Verde,0.0
487,2020Q3,Africa,Central African Republic,0.0
488,2020Q3,Africa,Chad,0.0
489,2020Q3,Africa,Comoros,0.0
490,2020Q3,Africa,Congo,0.0
491,2020Q3,Africa,Cote d'Ivoire,374.341
492,2020Q3,Africa,Democratic Republic of Congo,0.0
493,2020Q3,Africa,Djibouti,0.0
494,2020Q3,Africa,Egypt,0.0
495,2020Q3,Africa,Equatorial Guinea,0.0
496,2020Q3,Africa,Eritrea,0.0
497,2020Q3,Africa,Eswatini,0.0
498,2020Q3,Africa,Ethiopia,531.108
499,2020Q3,Africa,Gabon,0.0
500,2020Q3,Africa,Gambia,0.0
501,2020Q3,Africa,Ghana,1134.627
502,2020Q3,Africa,Guinea,0.0
503,2020Q3,Africa,Guinea-Bissau,0.0
504,2020Q3,Africa,Kenya,519.86
505,2020Q3,Africa,Lesotho,0.0
506,2020Q3,Africa,Liberia,0.0
507,2020Q3,Africa,Libya,0.0
508,2020Q3,Africa,Madagascar,113.491
509,2020Q3,Africa,Malawi,146.209
510,2020Q3,Africa,Mali,0.0
511,2020Q3,Africa,Mauritania,620.949
512,2020Q3,Africa,Mauritius,0.0
513,2020Q3,Africa,Mayotte,0.0
514,2020Q3,Africa,Morocco,3933.556
515,2020Q3,Africa,Mozambique,225.926
516,2020Q3,Africa,Namibia,1658.05
517,2020Q3,Africa,Niger,0.0
518,2020Q3,Africa,Nigeria,114.332
519,2020Q3,Africa,Reunion,0.0
520,2020Q3,Africa,Rwanda,2268.537
521,2020Q3,Africa,Saint Helena,0.0
522,2020Q3,Africa,Sao Tome and Principe,0.0
523,2020Q3,Africa,Senegal,718.04
524,2020Q3,Africa,Seychelles,0.0
525,2020Q3,Africa,Sierra Leone,0.0
526,2020Q3,Africa,Somalia,0.0
527,2020Q3,Africa,South Africa,4972.412
528,2020Q3,Africa,South Sudan,21.285
529,2020Q3,Africa,Sudan,0.0
530,2020Q3,Africa,Tanzania,0.0
531,2020Q3,Africa,Togo,613.121
532,2020Q3,Africa,Tunisia,0.0
533,2020Q3,Africa,Uganda,644.809
534,2020Q3,Africa,Zambia,470.084
535,2020Q3,Africa,Zimbabwe,441.65
536,2020Q3,Asia,Afghanistan,0.0
537,2020Q3,Asia,Armenia,6336.703
538,2020Q3,Asia,Azerbaijan,0.0
539,2020Q3,Asia,Bahrain,50274.178
540,2020Q3,Asia,Bangladesh,741.394
541,2020Q3,Asia,Bhutan,8646.637
542,2020Q3,Asia,Brunei,0.0
543,2020Q3,Asia,Cambodia,0.0
544,2020Q3,Asia,China,112.21
545,2020Q3,Asia,Georgia,0.0
546,2020Q3,Asia,Hong Kong,1173.305
547,2020Q3,Asia,India,2197.337
548,2020Q3,Asia,Indonesia,0.0
549,2020Q3,Asia,Iran,2304.306
550,2020Q3,Asia,Iraq,2392.251
551,2020Q3,Asia,Israel,20092.77
552,2020Q3,Asia,Japan,767.5360000000001
553,2020Q3,Asia,Jordan,0.0
554,2020Q3,Asia,Kazakhstan,10547.89
555,2020Q3,Asia,Kuwait,12208.818
556,2020Q3,Asia,Kyrgyzstan,0.0
557,2020Q3,Asia,Laos,0.0
558,2020Q3,Asia,Lebanon,0.0
559,2020Q3,Asia,Malaysia,3370.533
560,2020Q3,Asia,Maldives,15419.349
561,2020Q3,Asia,Mongolia,0.0
562,2020Q3,Asia,Myanmar,248.459
563,2020Q3,Asia,Nepal,1719.225
564,2020Q3,Asia,North Korea,0.51
565,2020Q3,Asia,Oman,0.0
566,2020Q3,Asia,Pakistan,904.039
567,2020Q3,Asia,Palestine,0.0
568,2020Q3,Asia,Philippines,1626.136
569,2020Q3,Asia,Qatar,0.0
570,2020Q3,Asia,Saudi Arabia,11162.444
571,2020Q3,Asia,Singapore,0.0
572,2020Q3,Asia,South Korea,3132.033
573,2020Q3,Asia,Sri Lanka,822.293
574,2020Q3,Asia,Syria,0.0
575,2020Q3,Asia,Taiwan,327.031
576,2020Q3,Asia,Tajikistan,0.0
577,2020Q3,Asia,Thailand,1096.26
578,2020Q3,Asia,Timor,0.0
579,2020Q3,Asia,Turkey,6715.309
580,2020Q3,Asia,Turkmenistan,0.0
581,2020Q3,Asia,United Arab Emirates,61172.778
582,2020Q3,Asia,Uzbekistan,0.0
583,2020Q3,Asia,Vietnam,0.0
584,2020Q3,Asia,Yemen,0.0
585,2020Q3,Europe,Albania,1586.022
586,2020Q3,Europe,Andorra,1876.699
587,2020Q3,Europe,Austria,10823.366
588,2020Q3,Europe,Belarus,5140.123
589,2020Q3,Europe,Belgium,16508.139
590,2020Q3,Europe,Bosnia and Herzegovina,3322.352
591,2020Q3,Europe,Bulgaria,3790.633
592,2020Q3,Europe,Croatia,3573.444
593,2020Q3,Europe,Cyprus,26570.837
594,2020Q3,Europe,Czechia,3535.102
595,2020Q3,Europe,Denmark,33671.499
596,2020Q3,Europe,England,0.0
597,2020Q3,Europe,Estonia,11702.163
598,2020Q3,Europe,Faeroe Islands,0.0
599,2020Q3,Europe,Finland,9854.527
600,2020Q3,Europe,France,8217.146
601,2020Q3,Europe,Germany,1682.104
602,2020Q3,Europe,Gibraltar,0.0
603,2020Q3,Europe,Greece,5498.925
604,2020Q3,Europe,Guernsey,0.0
605,2020Q3,Europe,Hungary,3936.315
606,2020Q3,Europe,Iceland,21124.639
607,2020Q3,Europe,Ireland,13876.978
608,2020Q3,Europe,Isle of Man,0.0
609,2020Q3,Europe,Italy,12275.894
610,2020Q3,Europe,Jersey,0.0
611,2020Q3,Europe,Kosovo,0.0
612,2020Q3,Europe,Latvia,11198.654
613,2020Q3,Europe,Liechtenstein,10242.22
614,2020Q3,Europe,Lithuania,17955.784
615,2020Q3,Europe,Luxembourg,79409.29
616,2020Q3,Europe,Malta,24654.728
617,2020Q3,Europe,Moldova,0.0
618,2020Q3,Europe,Monaco,0.0
619,2020Q3,Europe,Montenegro,0.0
620,2020Q3,Europe,Netherlands,5158.332
621,2020Q3,Europe,North Macedonia,5471.71
622,2020Q3,Europe,Northern Ireland,0.0
623,2020Q3,Europe,Norway,10696.895
624,2020Q3,Europe,Poland,766.344
625,2020Q3,Europe,Portugal,16835.56
626,2020Q3,Europe,Romania,886.955
627,2020Q3,Europe,Russia,20441.248
628,2020Q3,Europe,San Marino,0.0
629,2020Q3,Europe,Scotland,0.0
